Index,NAME,datatype,thing,Useful for thermal (y/n/m),Is Temp (y/n),Notes
Index35,payload.fChargeControlStat.fPVA,<class 'list'>,dict,y,y,Code in email on how to deal with dict
Index40,payload.fRICHBoardStates,<class 'list'>,list,,,
Index126,payload.fSFCStatus.fCPULoad,<class 'list'>,float64,,,
Index151,payload.fTOFStatus.fFEETemp.1,<class 'list'>,,,,
Index152,payload.fTOFStatus.fFEETemp.8,<class 'list'>,,,,
Index153,payload.fTOFStatus.fFEETemp.4,<class 'list'>,,,,
Index154,payload.fTOFStatus.fFEETemp.3,<class 'list'>,,,,
Index155,payload.fTOFStatus.fFEETemp.5,<class 'list'>,,,,
Index156,payload.fTOFStatus.fFEETemp.0,<class 'list'>,,,,
Index157,payload.fTOFStatus.fFEETemp.2,<class 'list'>,,,,
Index158,payload.fTOFStatus.fFEETemp.7,<class 'list'>,,,,
Index159,payload.fTOFStatus.fFEETemp.6,<class 'list'>,,,,
Index160,payload.fTOFStatus.fFEEImon.3,<class 'list'>,,,,
Index161,payload.fTOFStatus.fFEEImon.6,<class 'list'>,,,,
Index162,payload.fTOFStatus.fFEEImon.4,<class 'list'>,,,,
Index163,payload.fTOFStatus.fFEEImon.7,<class 'list'>,,,,
Index164,payload.fTOFStatus.fFEEImon.2,<class 'list'>,,,,
Index165,payload.fTOFStatus.fFEEImon.8,<class 'list'>,,,,
Index166,payload.fTOFStatus.fFEEImon.1,<class 'list'>,,,,
Index167,payload.fTOFStatus.fFEEImon.0,<class 'list'>,,,,
Index168,payload.fTOFStatus.fFEEImon.5,<class 'list'>,,,,
Index170,payload.fTOFStatus.fTemp1,<class 'list'>,,,,
Index171,payload.fTOFStatus.fTemp0,<class 'list'>,,,,
Index172,payload.fTOFStatus.fIin,<class 'list'>,,,,
Index173,payload.fTOFStatus.fXadc,<class 'list'>,,,,
Index174,payload.fTOFStatus.fVin,<class 'list'>,,,,
Index197,payload.fMagnetHSK.magnetRTDsOhms,<class 'list'>,,,,
Index198,payload.fMagnetHSK.tempProbeAll,<class 'list'>,,,,
Index202,payload.fMagnetHSK.magnetFlows,<class 'list'>,,,,
Index212,payload.fRICHStateMap,<class 'list'>,,,,
Index228,payload.fBatStat,<class 'list'>,,,,
